Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,Player_id,Squad_id,Sh,SoT,G_by_Sh,G_by_SoT,Dist,FK,npxG_by_Sh,G-xG,np:G-xG,Total_Cmp,Total_Att,Total_TotDist,Total_PrgDist,xA,A-xAG,KP,LastThird,PPA,CrsPA,Prog,SCA,SCA_PassLive,SCA_PassDead,SCA_Drib,SCA_Sh,SCA_Fld,SCA_Def,GCA,GCA_PassLive,GCA_PassDead,GCA_Drib,GCA_Sh,GCA_Fld,GCA_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def3rd,Tackles_Mid3rd,Tackles_Att3rd,VsDribbles_Tkl,VsDribbles_Att,VsDribbles_Past,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl_plus_Int,Clr,Err,Touches_Touches,Touches_DefPen,Touches_Def3rd,Touches_Mid3rd,Touches_Att3rd,Touches_AttPen,Touches_Live,Dribbles_Succ,Dribbles_Att,Dribbles_Mis,Dribbles_Dis,Receiving_Rec,Receiving_Prog,Mn_by_MP,Mn_by_Start,Compl,Subs,Mn_by_Sub,unSub,TS_PPM,TS_onG,TS_onGA,TS_Diff,TS_On-Off,TS(xG)_onxG,TS(xG)_onxGA,TS(xG)_xGDiff,TS(xG)_On-Off,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerialDuels_Won,AerialDuels_Lost,Cmp,Start_Year
Shana Chossenotte,fr FRA,FW,Stade de Reims,17-297,2005.0,3,3,174,0,0,0,0,0,0,0,0.0,0.0,0.0,e2d168d8,e3696882,1.0,1.0,0.0,0.0,26.6,0.0,0.03,0.0,0.0,0,22.0,183.0,51.0,0.1,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,6.0,0.0,0.0,44.0,2.0,16.0,20.0,8.0,1.0,44.0,1.0,2.0,7.0,3.0,26.0,4.0,70.0,86.0,3,1,7.0,5.0,2.6,8.0,2.0,6.0,-0.09,5.6,1.9,3.8,-0.86,0,2.0,1.0,0.0,1.0,3.0,0.0,0.0,0,6.0,0.0,0.0,12.0,2019.0
Anna Clérac,fr FRA,MF,Soyaux,25-189,1997.0,4,4,292,0,0,0,0,0,0,0,0.0,0.0,0.1,9175389b,b54d31b3,1.0,0.0,0.0,,23.5,0.0,0.04,0.0,0.0,0,91.0,1026.0,285.0,0.1,-0.1,2.0,5.0,1.0,0.0,6.0,8.0,4.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,2.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,6.0,10.0,1.0,0.0,113.0,2.0,23.0,66.0,25.0,3.0,113.0,2.0,4.0,7.0,0.0,71.0,5.0,67.0,90.0,6,4,31.0,0.0,2.8,20.0,4.0,16.0,-0.13,18.5,3.9,14.5,0.32,0,4.0,4.0,0.0,5.0,3.0,0.0,0.0,0,12.0,1.0,0.0,61.0,2021.0
Camille Collin,fr FRA,DF,Soyaux,22-202,2000.0,10,10,900,1,0,1,0,0,1,0,0.6,0.6,0.0,a13afbf7,b54d31b3,3.0,2.0,0.33,0.5,5.1,0.0,0.19,0.4,0.4,0,325.0,3885.0,2225.0,0.7,0.0,0.0,11.0,0.0,0.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,8.0,11.0,2.0,0.0,10.0,18.0,8.0,10.0,6.0,4.0,20.0,33.0,38.0,0.0,412.0,59.0,254.0,138.0,26.0,7.0,412.0,0.0,0.0,3.0,0.0,177.0,1.0,20.0,90.0,1,5,6.0,3.0,1.5,3.0,2.0,1.0,0.87,1.1,2.1,-1.0,-0.27,0,7.0,6.0,0.0,4.0,8.0,0.0,0.0,0,53.0,3.0,6.0,210.0,2018.0
Laura Condon,fr FRA,MF,Soyaux,25-265,1997.0,7,6,514,1,0,1,0,0,1,0,0.4,0.4,0.3,f741dd9b,b54d31b3,7.0,1.0,0.14,1.0,18.7,1.0,0.05,0.6,0.6,0,220.0,2953.0,1233.0,0.3,-0.3,8.0,18.0,3.0,0.0,18.0,13.0,8.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,11.0,6.0,12.0,0.0,7.0,13.0,6.0,8.0,0.0,8.0,15.0,33.0,3.0,0.0,278.0,11.0,95.0,142.0,47.0,5.0,278.0,4.0,6.0,4.0,3.0,139.0,1.0,41.0,69.0,0,6,23.0,0.0,0.5,2.0,9.0,-7.0,-0.41,3.1,7.2,-4.1,-0.58,0,6.0,2.0,0.0,9.0,11.0,0.0,0.0,0,54.0,1.0,1.0,155.0,2020.0
Adéle Connesson,fr FRA,FW,Stade de Reims,18-173,2004.0,2,0,19,0,0,0,0,0,0,0,0.0,0.0,0.0,673a5b36,e3696882,0.0,0.0,,,,0.0,,0.0,0.0,0,5.0,56.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,3.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,4.0,0.0,68.0,90.0,2,1,25.0,0.0,2.0,4.0,2.0,2.0,1.01,4.5,1.3,3.2,1.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,0.0,3.0,2021.0
Judith Coquet,fr FRA,"MF,DF",Montpellier,19-125,2003.0,3,0,6,0,0,0,0,0,0,0,0.0,0.0,0.0,4dad8991,7bbdea71,0.0,0.0,,,,0.0,,0.0,0.0,0,4.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,2.0,1.0,5.0,0.0,0.0,0.0,1.0,5.0,2.0,90.0,90.0,7,0,,3.0,1.86,12.0,10.0,2.0,0.62,10.0,6.8,3.2,0.49,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,2020.0
Daphne Corboz,us USA,MF,Paris FC,29-177,1993.0,5,3,232,0,0,0,0,0,0,0,0.1,0.1,0.1,1a95407f,28d9b675,2.0,1.0,0.0,0.0,26.8,0.0,0.03,-0.1,-0.1,0,121.0,1301.0,525.0,0.0,-0.1,2.0,10.0,0.0,0.0,12.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,1.0,6.0,1.0,3.0,9.0,6.0,6.0,0.0,6.0,3.0,11.0,1.0,0.0,155.0,2.0,44.0,94.0,18.0,1.0,155.0,0.0,3.0,6.0,4.0,96.0,0.0,58.0,58.0,0,0,,2.0,0.0,1.0,5.0,-4.0,-2.56,0.6,4.6,-4.0,-1.92,0,7.0,0.0,0.0,0.0,4.0,0.0,0.0,0,26.0,0.0,3.0,88.0,2019.0
Rachel Corboz,us USA,MF,Stade de Reims,26-221,1996.0,10,8,723,0,3,0,0,0,0,0,0.4,0.4,0.9,e939b464,e3696882,9.0,1.0,0.0,0.0,23.4,2.0,0.05,-0.4,-0.4,0,308.0,3451.0,1564.0,1.0,2.1,16.0,29.0,3.0,0.0,26.0,26.0,16.0,6.0,1.0,2.0,0.0,1.0,8.0,5.0,2.0,0.0,1.0,0.0,0.0,25.0,14.0,8.0,15.0,2.0,11.0,22.0,11.0,13.0,1.0,12.0,5.0,30.0,6.0,0.0,379.0,9.0,85.0,207.0,91.0,10.0,379.0,3.0,6.0,8.0,11.0,209.0,20.0,73.0,73.0,1,0,,0.0,1.0,3.0,4.0,-1.0,1.17,2.1,5.6,-3.6,0.41,0,8.0,2.0,0.0,31.0,14.0,0.0,0.0,0,45.0,1.0,4.0,180.0,2020.0
Carla Cosme,fr FRA,"DF,MF",Soyaux,19-146,2003.0,4,0,86,0,0,0,0,0,1,0,0.0,0.0,0.0,bd2f17de,b54d31b3,0.0,0.0,,,,0.0,,0.0,0.0,0,22.0,284.0,126.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,2.0,3.0,1.0,0.0,33.0,1.0,18.0,9.0,7.0,0.0,33.0,0.0,0.0,6.0,0.0,16.0,2.0,90.0,90.0,10,0,,0.0,0.5,9.0,20.0,-11.0,,7.1,20.8,-13.8,,0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0,5.0,0.0,0.0,17.0,2020.0
Nora Coton-Pélagie,fr FRA,"MF,FW",Le Havre,34-230,1988.0,10,5,431,2,1,2,0,0,0,0,1.0,1.0,1.2,9f1f1ab6,c57b7254,6.0,3.0,0.33,0.67,12.0,0.0,0.16,1.0,1.0,0,149.0,1678.0,832.0,0.6,-0.2,6.0,16.0,7.0,1.0,17.0,11.0,8.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,2.0,3.0,2.0,3.0,6.0,3.0,5.0,1.0,4.0,5.0,12.0,4.0,0.0,197.0,6.0,32.0,108.0,60.0,10.0,197.0,2.0,5.0,14.0,7.0,109.0,18.0,73.0,78.0,3,1,45.0,1.0,0.14,4.0,15.0,-11.0,-1.93,4.1,13.4,-9.3,-0.58,0,2.0,9.0,5.0,6.0,4.0,0.0,0.0,0,31.0,6.0,5.0,86.0,2019.0
Cathy Couturier,fr FRA,"MF,DF",Soyaux,25-334,1997.0,9,4,506,0,0,0,0,0,2,0,0.0,0.0,0.1,5d2003c1,b54d31b3,1.0,0.0,0.0,,35.1,0.0,0.01,0.0,0.0,0,223.0,2280.0,1242.0,0.1,-0.1,3.0,14.0,3.0,1.0,17.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,11.0,9.0,8.0,2.0,5.0,14.0,9.0,7.0,1.0,6.0,11.0,30.0,2.0,0.0,265.0,11.0,88.0,145.0,34.0,0.0,265.0,2.0,4.0,8.0,5.0,130.0,4.0,10.0,,0,2,10.0,0.0,0.0,0.0,2.0,-2.0,-9.68,0.1,1.6,-1.5,-7.37,0,4.0,2.0,0.0,3.0,11.0,0.0,0.0,0,41.0,3.0,3.0,135.0,2021.0
Sara Däbritz,de GER,MF,Lyon,27-296,1995.0,2,2,159,1,1,1,0,0,1,0,0.4,0.4,0.5,cc266f16,7f2012ad,5.0,3.0,0.2,0.33,18.4,0.0,0.08,0.6,0.6,0,93.0,1414.0,422.0,0.4,0.5,7.0,6.0,4.0,1.0,8.0,11.0,3.0,4.0,1.0,0.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,3.0,1.0,0.0,114.0,0.0,10.0,40.0,65.0,5.0,114.0,3.0,4.0,2.0,2.0,74.0,9.0,2.0,,0,3,2.0,7.0,1.33,0.0,0.0,0.0,-0.5,0.2,0.3,-0.1,-1.78,0,1.0,4.0,0.0,10.0,0.0,0.0,0.0,0,11.0,3.0,1.0,77.0,2020.0
Marine Dafeur,fr FRA,"MF,FW",Fleury,28-049,1994.0,10,9,807,1,2,0,1,1,2,0,1.7,1.0,1.2,6884f304,4fcc2996,21.0,5.0,0.0,0.0,23.2,0.0,0.05,-0.7,-1.0,0,352.0,4319.0,1557.0,1.2,0.8,12.0,31.0,6.0,1.0,30.0,35.0,24.0,5.0,1.0,3.0,1.0,1.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,39.0,24.0,18.0,13.0,8.0,12.0,18.0,6.0,13.0,1.0,12.0,18.0,57.0,8.0,0.0,489.0,11.0,115.0,219.0,163.0,21.0,488.0,11.0,19.0,26.0,13.0,243.0,14.0,46.0,63.0,0,2,21.0,0.0,1.4,3.0,3.0,0.0,-1.08,2.4,3.1,-0.7,-1.14,0,15.0,13.0,1.0,29.0,24.0,0.0,0.0,0,70.0,12.0,5.0,237.0,2020.0
Sana Daoudi,ma MAR,MF,Guingamp,24-271,1998.0,10,9,724,0,0,0,0,0,2,0,0.0,0.0,0.1,bea52f2a,abc4f6d7,0.0,0.0,,,,0.0,,0.0,0.0,0,278.0,3783.0,858.0,0.1,-0.1,2.0,16.0,1.0,0.0,21.0,6.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,13.0,11.0,8.0,1.0,7.0,11.0,4.0,6.0,1.0,5.0,13.0,33.0,4.0,1.0,342.0,8.0,108.0,204.0,37.0,3.0,342.0,4.0,9.0,12.0,9.0,205.0,7.0,72.0,84.0,5,2,24.0,0.0,1.4,13.0,12.0,1.0,0.63,7.1,11.2,-4.1,0.05,0,15.0,8.0,0.0,2.0,13.0,0.0,0.0,0,61.0,8.0,7.0,230.0,2020.0
Deja Davis,us USA,"DF,FW",Le Havre,27-169,1995.0,10,10,900,1,0,0,1,1,2,0,1.2,0.4,0.1,94edee6f,c57b7254,7.0,4.0,0.0,0.0,15.4,0.0,0.06,-0.2,-0.4,0,304.0,4088.0,2395.0,0.1,-0.1,2.0,12.0,2.0,1.0,14.0,6.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,9.0,9.0,8.0,0.0,5.0,12.0,7.0,5.0,1.0,4.0,27.0,44.0,41.0,0.0,420.0,73.0,249.0,153.0,22.0,10.0,419.0,1.0,5.0,7.0,7.0,168.0,2.0,22.0,,0,4,22.0,2.0,1.0,1.0,1.0,0.0,1.22,1.1,2.0,-0.8,0.55,0,10.0,7.0,0.0,1.0,9.0,0.0,0.0,0,80.0,9.0,5.0,201.0,2018.0
Élisa De Almeida,fr FRA,DF,Paris S-G,24-331,1998.0,8,7,674,0,0,0,0,0,1,0,0.1,0.1,0.1,1144cf07,80595417,2.0,0.0,0.0,,21.6,0.0,0.04,-0.1,-0.1,0,584.0,11112.0,4444.0,0.1,-0.1,3.0,32.0,1.0,0.0,33.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,7.0,1.0,0.0,3.0,3.0,0.0,10.0,4.0,6.0,9.0,17.0,11.0,0.0,626.0,33.0,263.0,357.0,11.0,3.0,626.0,1.0,1.0,1.0,0.0,462.0,3.0,43.0,65.0,0,5,21.0,0.0,1.3,10.0,9.0,1.0,0.21,6.5,8.8,-2.3,0.0,0,4.0,2.0,0.0,0.0,6.0,0.0,0.0,0,62.0,3.0,6.0,539.0,2019.0
Serena Pinto De Queiros,,MF,Bordeaux,18-007,2004.0,5,0,35,0,0,0,0,0,0,0,0.0,0.0,0.1,1e88d0bc,69dee2b0,1.0,1.0,0.0,0.0,23.9,0.0,0.05,0.0,0.0,0,19.0,141.0,27.0,0.1,-0.1,2.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,23.0,0.0,5.0,6.0,12.0,3.0,23.0,0.0,0.0,0.0,1.0,13.0,2.0,,,0,0,,1.0,,,,,,,,,,0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0,2.0,0.0,0.0,10.0,2022.0
