Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,Player_id,Squad_id,Sh,SoT,G_by_Sh,G_by_SoT,Dist,FK,npxG_by_Sh,G-xG,np:G-xG,Total_Cmp,Total_Att,Total_TotDist,Total_PrgDist,xA,A-xAG,KP,LastThird,PPA,CrsPA,Prog,SCA,SCA_PassLive,SCA_PassDead,SCA_Drib,SCA_Sh,SCA_Fld,SCA_Def,GCA,GCA_PassLive,GCA_PassDead,GCA_Drib,GCA_Sh,GCA_Fld,GCA_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def3rd,Tackles_Mid3rd,Tackles_Att3rd,VsDribbles_Tkl,VsDribbles_Att,VsDribbles_Past,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl_plus_Int,Clr,Err,Touches_Touches,Touches_DefPen,Touches_Def3rd,Touches_Mid3rd,Touches_Att3rd,Touches_AttPen,Touches_Live,Dribbles_Succ,Dribbles_Att,Dribbles_Mis,Dribbles_Dis,Receiving_Rec,Receiving_Prog,Mn_by_MP,Mn_by_Start,Compl,Subs,Mn_by_Sub,unSub,TS_PPM,TS_onG,TS_onGA,TS_Diff,TS_On-Off,TS(xG)_onxG,TS(xG)_onxGA,TS(xG)_xGDiff,TS(xG)_On-Off,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerialDuels_Won,AerialDuels_Lost,Cmp,Start_Year
Teresa Abilleira,es ESP,MF,Real Madrid,22-333,2000.0,9,7,648,3,1,3,0,0,0,0,1.2,1.2,1.1,46f75f0c,54582b93,15.0,6.0,0.2,0.5,24.2,2.0,0.08,1.8,1.8,384,478.0,7624.0,2570.0,0.8,-0.1,12.0,64.0,5.0,1.0,38.0,30.0,22.0,8.0,0.0,0.0,0.0,0.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,21.0,15.0,4.0,12.0,5.0,8.0,12.0,4.0,5.0,0.0,5.0,4.0,25.0,2.0,0.0,552.0,8.0,122.0,332.0,103.0,3.0,552.0,7.0,10.0,15.0,6.0,366.0,10.0,72.0,85.0,5,2,27.0,1.0,2.44,26.0,8.0,18.0,1.43,12.6,7.6,5.0,0.32,0,15.0,13.0,0.0,18.0,15.0,0.0,0.0,0,52.0,4.0,5.0,0.0,2018.0
Jessica Aby,ci CIV,"FW,MF",Alavés,24-175,1998.0,10,4,383,1,0,1,0,0,3,0,1.2,1.2,0.2,72c566fe,aa11fb42,4.0,3.0,0.25,0.33,11.9,0.0,0.29,-0.2,-0.2,66,111.0,1084.0,213.0,0.2,-0.2,6.0,7.0,0.0,0.0,6.0,7.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,7.0,5.0,5.0,3.0,3.0,5.0,2.0,1.0,0.0,1.0,3.0,16.0,8.0,0.0,156.0,8.0,39.0,75.0,46.0,12.0,156.0,4.0,7.0,12.0,6.0,94.0,12.0,38.0,63.0,0,6,22.0,1.0,0.6,4.0,13.0,-9.0,-0.04,4.7,8.5,-3.8,0.69,0,19.0,8.0,2.0,3.0,7.0,0.0,0.0,0,21.0,6.0,11.0,0.0,2021.0
Charity Adule,,FW,Alhama,29-031,1993.0,1,0,14,0,0,0,0,0,0,0,0.0,0.0,0.0,67a39a11,e9fecaf2,0.0,0.0,,,,0.0,,0.0,0.0,1,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,14.0,,0,1,14.0,,0.0,0.0,0.0,0.0,1.57,0.1,0.2,-0.1,0.03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2.0,0.0,2009.0
Júlia Aguado,,"FW,MF",Levante,22-220,2000.0,5,0,50,3,0,3,0,0,0,0,1.8,1.8,0.0,a097ef45,0f4738a8,4.0,4.0,0.75,0.75,9.3,0.0,0.45,1.2,1.2,7,11.0,69.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,5.0,13.0,6.0,18.0,0.0,3.0,1.0,0.0,16.0,5.0,10.0,,0,5,10.0,5.0,2.6,4.0,0.0,4.0,6.05,2.6,0.1,2.5,3.32,0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0,2.0,1.0,0.0,0.0,2016.0
Yolanda Aguirre,es ESP,GK,Sevilla,24-046,1998.0,4,4,360,0,0,0,0,0,0,0,0.0,0.0,0.0,150b2d3b,215d9026,0.0,0.0,,,,0.0,,0.0,0.0,75,111.0,2089.0,1461.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0,129.0,116.0,128.0,1.0,0.0,0.0,129.0,0.0,0.0,0.0,0.0,35.0,0.0,90.0,90.0,4,0,,7.0,0.75,7.0,10.0,-3.0,-1.04,5.1,7.3,-2.1,-1.31,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,2.0,1.0,1.0,0.0,2019.0
Rasheedat Ajibade,ng NGA,FW,Atlético Madrid,23-000,1999.0,11,8,706,4,1,4,0,0,0,0,6.3,6.3,0.8,77448ed7,b56c2667,36.0,17.0,0.11,0.24,13.4,0.0,0.18,-2.3,-2.3,126,200.0,2087.0,551.0,1.1,0.2,8.0,14.0,8.0,3.0,14.0,26.0,17.0,1.0,3.0,2.0,3.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,8.0,4.0,2.0,4.0,2.0,1.0,3.0,2.0,6.0,0.0,6.0,3.0,11.0,0.0,0.0,307.0,1.0,18.0,108.0,186.0,62.0,307.0,15.0,23.0,35.0,25.0,246.0,57.0,64.0,80.0,4,3,23.0,,2.09,17.0,11.0,6.0,0.13,14.6,7.2,7.3,-0.05,0,11.0,16.0,7.0,19.0,4.0,1.0,0.0,0,39.0,7.0,4.0,0.0,2021.0
Henriette Akaba,cm CMR,DF,Levante Planas,30-184,1992.0,1,0,7,0,0,0,0,0,0,0,0.2,0.2,0.0,e938c5ba,753b93a5,2.0,0.0,0.0,,10.6,0.0,0.08,-0.2,-0.2,1,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,,0,1,7.0,6.0,0.0,0.0,0.0,0.0,1.46,0.2,0.1,0.1,1.84,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2008.0
Albeta,,DF,Villarreal,21-116,2001.0,1,0,7,0,0,0,0,0,0,0,0.0,0.0,0.0,4f3341b5,7a7bef84,0.0,0.0,,,,0.0,,0.0,0.0,2,4.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,2.0,2.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,,0,1,7.0,4.0,0.0,0.0,0.0,0.0,1.65,0.1,0.2,-0.1,-1.09,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2017.0
Ainhoa Alguacil,,"MF,FW",Valencia,16-334,2006.0,6,4,296,0,1,0,0,0,0,0,0.0,0.0,0.5,450dbe8a,f96ff499,1.0,0.0,0.0,,31.6,0.0,0.02,0.0,0.0,70,96.0,1246.0,374.0,0.4,0.5,10.0,6.0,5.0,2.0,11.0,14.0,13.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,1.0,2.0,1.0,4.0,0.0,4.0,1.0,4.0,2.0,0.0,128.0,5.0,24.0,61.0,45.0,3.0,128.0,3.0,3.0,11.0,11.0,80.0,12.0,49.0,61.0,0,2,27.0,1.0,0.67,3.0,3.0,0.0,-0.39,1.9,3.9,-2.0,-1.13,0,1.0,4.0,0.0,3.0,2.0,0.0,0.0,0,26.0,0.0,1.0,0.0,2018.0
María Alharilla Casado,es ESP,"DF,MF",Levante,32-025,1990.0,3,0,100,0,0,0,0,0,0,0,0.0,0.0,0.0,9581d587,0f4738a8,1.0,0.0,0.0,,31.4,0.0,0.02,0.0,0.0,49,61.0,744.0,362.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,1.0,3.0,3.0,3.0,4.0,1.0,2.0,0.0,2.0,2.0,9.0,3.0,0.0,79.0,4.0,15.0,40.0,24.0,1.0,79.0,0.0,2.0,2.0,1.0,32.0,5.0,33.0,,0,3,33.0,1.0,3.0,7.0,1.0,6.0,4.39,4.3,0.8,3.4,1.97,0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,0,9.0,0.0,0.0,0.0,2008.0
Carmen Álvarez,,"FW,MF",Real Betis,19-287,2003.0,11,6,495,0,0,0,0,0,0,0,0.7,0.7,0.2,66c60fdc,74142337,10.0,1.0,0.0,0.0,18.2,0.0,0.07,-0.7,-0.7,57,91.0,874.0,216.0,0.1,-0.2,4.0,6.0,0.0,0.0,6.0,7.0,4.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,158.0,1.0,8.0,82.0,71.0,22.0,158.0,3.0,10.0,36.0,12.0,115.0,18.0,45.0,56.0,1,5,32.0,,0.91,2.0,15.0,-13.0,-2.36,1.9,13.3,-11.5,-0.92,0,2.0,4.0,3.0,0.0,1.0,0.0,0.0,0,13.0,14.0,18.0,0.0,2020.0
Ruth Álvarez,,"DF,MF",Madrid CFF,22-186,2000.0,6,3,245,0,1,0,0,0,0,0,0.1,0.1,0.4,a9d8cb9c,89818574,2.0,0.0,0.0,,18.9,0.0,0.03,-0.1,-0.1,124,154.0,2162.0,832.0,0.3,0.6,4.0,10.0,6.0,2.0,15.0,7.0,6.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,2.0,5.0,0.0,3.0,4.0,1.0,5.0,1.0,4.0,4.0,11.0,3.0,0.0,181.0,4.0,37.0,96.0,49.0,3.0,181.0,0.0,0.0,6.0,1.0,99.0,10.0,41.0,75.0,1,3,7.0,4.0,1.67,5.0,5.0,0.0,-0.85,3.1,2.0,1.1,-0.13,0,2.0,0.0,0.0,10.0,5.0,0.0,0.0,0,19.0,3.0,1.0,0.0,2019.0
Jone Amezaga,,FW,Athletic Club,17-340,2005.0,6,5,384,3,0,3,0,0,0,0,2.6,2.6,0.1,7403b395,94929c05,13.0,4.0,0.23,0.75,14.2,0.0,0.2,0.4,0.4,47,65.0,576.0,56.0,0.0,-0.1,2.0,1.0,0.0,0.0,1.0,6.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,2.0,2.0,4.0,0.0,2.0,2.0,4.0,1.0,3.0,3.0,11.0,1.0,0.0,140.0,1.0,10.0,52.0,83.0,15.0,140.0,3.0,15.0,28.0,12.0,87.0,20.0,64.0,70.0,1,1,32.0,,1.5,9.0,6.0,3.0,1.74,6.6,6.2,0.4,0.69,0,4.0,6.0,2.0,4.0,6.0,0.0,0.0,0,19.0,2.0,4.0,0.0,2018.0
Amparito,,"DF,MF",Sevilla,25-293,1997.0,1,0,13,0,0,0,0,0,0,0,0.0,0.0,0.0,9bb5b11c,215d9026,0.0,0.0,,,,0.0,,0.0,0.0,5,7.0,82.0,32.0,0.1,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,1.0,6.0,2.0,1.0,9.0,0.0,0.0,1.0,0.0,8.0,2.0,13.0,,0,1,13.0,5.0,3.0,0.0,0.0,0.0,0.09,0.5,0.0,0.5,3.21,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,2016.0
Nataša Andonova,mk MKD,"FW,MF",Levante,29-004,1993.0,10,10,830,5,2,5,0,0,1,0,2.8,2.8,2.1,c9ef783a,0f4738a8,22.0,9.0,0.23,0.56,16.9,2.0,0.13,2.2,2.2,237,341.0,3840.0,948.0,2.6,-0.1,15.0,22.0,12.0,3.0,20.0,34.0,19.0,7.0,2.0,3.0,2.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,23.0,11.0,3.0,10.0,10.0,8.0,14.0,6.0,5.0,0.0,5.0,4.0,27.0,1.0,0.0,443.0,1.0,35.0,181.0,229.0,40.0,443.0,10.0,15.0,24.0,25.0,294.0,48.0,83.0,83.0,5,0,,,2.0,20.0,13.0,7.0,-4.3,16.1,8.0,8.1,-2.83,0,22.0,14.0,4.0,32.0,11.0,0.0,0.0,0,41.0,10.0,5.0,0.0,2020.0
Ivana Andrés,es ESP,DF,Real Madrid,28-148,1994.0,7,7,630,0,1,0,0,0,1,0,0.2,0.2,0.4,d0309b28,54582b93,2.0,0.0,0.0,,10.1,0.0,0.12,-0.2,-0.2,356,399.0,7887.0,3202.0,0.0,0.6,2.0,26.0,0.0,0.0,20.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,0.0,1.0,2.0,3.0,1.0,8.0,5.0,3.0,13.0,17.0,19.0,0.0,457.0,57.0,252.0,195.0,11.0,3.0,457.0,0.0,1.0,5.0,2.0,290.0,0.0,90.0,90.0,7,0,,3.0,2.71,24.0,4.0,20.0,2.52,13.1,4.8,8.2,1.9,0,7.0,6.0,0.0,0.0,4.0,0.0,0.0,0,50.0,4.0,3.0,0.0,2021.0
Angy,,MF,Valencia,25-293,1997.0,1,0,5,0,0,0,0,0,0,0,0.0,0.0,0.0,fe3d54bb,f96ff499,0.0,0.0,,,,0.0,,0.0,0.0,2,2.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,,0,1,5.0,6.0,3.0,0.0,0.0,0.0,-0.27,0.4,0.0,0.4,6.42,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2014.0
Antonia,br BRA,DF,Levante,28-226,1994.0,8,8,662,0,1,0,0,0,1,0,0.3,0.3,0.8,e73e06bc,0f4738a8,4.0,2.0,0.0,0.0,26.9,0.0,0.06,-0.3,-0.3,288,416.0,5930.0,2791.0,0.5,0.2,9.0,27.0,6.0,4.0,26.0,22.0,16.0,3.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,32.0,26.0,17.0,13.0,2.0,14.0,22.0,8.0,15.0,0.0,15.0,30.0,62.0,15.0,1.0,518.0,26.0,161.0,246.0,118.0,8.0,518.0,9.0,15.0,9.0,10.0,226.0,14.0,83.0,83.0,4,0,,,2.13,14.0,9.0,5.0,-2.34,11.8,6.0,5.8,-1.63,0,4.0,8.0,1.0,20.0,26.0,0.0,0.0,0,45.0,4.0,6.0,0.0,2020.0
Arola Aparicio,,"DF,MF",Sevilla,25-075,1997.0,10,3,345,0,0,0,0,0,0,0,0.0,0.0,0.3,83f1bd99,215d9026,1.0,0.0,0.0,,26.4,0.0,0.03,0.0,0.0,112,166.0,1846.0,877.0,0.5,-0.3,3.0,6.0,4.0,3.0,10.0,7.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,6.0,0.0,2.0,5.0,10.0,5.0,4.0,0.0,4.0,10.0,18.0,5.0,0.0,233.0,7.0,58.0,90.0,91.0,6.0,233.0,6.0,19.0,19.0,6.0,98.0,9.0,35.0,73.0,0,7,18.0,1.0,1.2,5.0,6.0,-1.0,-0.26,6.8,6.2,0.6,-0.24,0,1.0,4.0,2.0,10.0,6.0,0.0,0.0,0,27.0,6.0,1.0,0.0,2018.0
Paula Arana,,"FW,MF",Athletic Club,21-030,2001.0,9,5,489,1,0,1,0,0,0,0,0.7,0.7,0.1,008c802c,94929c05,13.0,3.0,0.08,0.33,20.3,0.0,0.05,0.3,0.3,104,170.0,1695.0,407.0,0.2,-0.1,3.0,9.0,5.0,2.0,11.0,10.0,7.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,9.0,14.0,5.0,3.0,6.0,16.0,10.0,6.0,0.0,6.0,3.0,25.0,5.0,0.0,256.0,3.0,46.0,117.0,97.0,10.0,256.0,5.0,17.0,21.0,8.0,151.0,22.0,54.0,76.0,0,4,27.0,2.0,1.11,6.0,14.0,-8.0,-2.19,3.6,8.1,-4.4,-0.97,0,4.0,5.0,0.0,17.0,9.0,0.0,0.0,0,39.0,8.0,11.0,0.0,2018.0
Karen Araya,cl CHI,"MF,DF",Madrid CFF,32-053,1990.0,10,3,313,0,0,0,0,0,1,0,0.2,0.2,0.5,c464f93a,89818574,8.0,3.0,0.0,0.0,28.6,0.0,0.03,-0.2,-0.2,105,169.0,2034.0,1026.0,0.6,-0.5,5.0,15.0,1.0,0.0,18.0,10.0,6.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,10.0,4.0,7.0,2.0,6.0,11.0,5.0,3.0,1.0,2.0,4.0,17.0,4.0,1.0,212.0,8.0,59.0,95.0,62.0,2.0,212.0,3.0,3.0,9.0,8.0,106.0,11.0,31.0,72.0,1,7,14.0,1.0,2.2,6.0,7.0,-1.0,-1.35,4.6,4.9,-0.3,-0.87,0,4.0,2.0,0.0,14.0,10.0,0.0,0.0,0,43.0,5.0,4.0,0.0,2019.0
Carla Armengol,es ESP,"FW,MF",Alavés,24-250,1998.0,11,8,597,1,0,1,0,0,0,0,0.5,0.5,0.0,25f540ad,aa11fb42,7.0,4.0,0.14,0.25,18.1,0.0,0.07,0.5,0.5,64,103.0,1032.0,294.0,0.2,0.0,0.0,3.0,3.0,2.0,4.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,3.0,2.0,2.0,0.0,1.0,5.0,4.0,6.0,0.0,6.0,3.0,7.0,4.0,0.0,164.0,3.0,24.0,74.0,68.0,12.0,164.0,2.0,9.0,18.0,5.0,109.0,16.0,54.0,71.0,2,3,10.0,,0.55,5.0,16.0,-11.0,1.09,4.1,12.6,-8.5,0.07,0,10.0,15.0,4.0,5.0,3.0,0.0,0.0,0,17.0,0.0,1.0,0.0,2019.0
Iris Arnaiz Gil,es ESP,"MF,DF",Real Sociedad,28-204,1994.0,7,6,559,0,0,0,0,0,2,0,0.0,0.0,0.3,aec17e23,c21f25d3,2.0,1.0,0.0,0.0,32.5,0.0,0.02,0.0,0.0,309,367.0,5510.0,2183.0,0.2,-0.3,2.0,29.0,3.0,0.0,32.0,6.0,5.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,6.0,4.0,8.0,2.0,3.0,4.0,1.0,4.0,2.0,2.0,12.0,26.0,15.0,0.0,423.0,34.0,147.0,254.0,25.0,1.0,423.0,2.0,3.0,2.0,3.0,265.0,7.0,80.0,88.0,4,1,32.0,4.0,1.57,12.0,8.0,4.0,-0.61,10.6,7.3,3.3,-0.4,0,2.0,5.0,0.0,1.0,6.0,0.0,0.0,0,42.0,13.0,3.0,0.0,2018.0
Daniela Arques,,MF,Alhama,16-262,2006.0,10,6,570,0,0,0,0,0,2,0,0.4,0.4,0.1,8f83b165,e9fecaf2,8.0,3.0,0.0,0.0,22.1,0.0,0.05,-0.4,-0.4,80,171.0,1762.0,917.0,0.1,-0.1,2.0,16.0,5.0,1.0,13.0,5.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0,6.0,12.0,2.0,8.0,21.0,13.0,11.0,4.0,7.0,12.0,32.0,10.0,0.0,250.0,22.0,87.0,128.0,37.0,5.0,250.0,5.0,10.0,4.0,9.0,87.0,4.0,57.0,81.0,3,4,22.0,,0.3,3.0,15.0,-12.0,-0.82,3.3,11.0,-7.7,-1.05,0,15.0,6.0,0.0,4.0,16.0,0.0,0.0,0,58.0,5.0,7.0,0.0,2019.0
Eunate Arraiza,es ESP,FW,Athletic Club,31-188,1991.0,7,2,198,0,0,0,0,0,0,0,0.2,0.2,0.1,7685f89a,94929c05,4.0,1.0,0.0,0.0,20.6,1.0,0.04,-0.2,-0.2,37,61.0,607.0,249.0,0.1,-0.1,1.0,3.0,0.0,0.0,4.0,4.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,4.0,2.0,0.0,2.0,5.0,3.0,4.0,2.0,2.0,3.0,9.0,4.0,0.0,91.0,2.0,28.0,39.0,24.0,3.0,91.0,1.0,2.0,5.0,2.0,44.0,5.0,28.0,67.0,0,5,13.0,4.0,1.86,2.0,5.0,-3.0,-1.25,1.3,3.9,-2.6,-1.08,0,1.0,2.0,2.0,5.0,4.0,0.0,0.0,0,12.0,3.0,2.0,0.0,2021.0
Grace Asantewaa,gh GHA,"MF,FW",Real Betis,22-003,2000.0,11,9,732,0,2,0,0,0,2,0,0.5,0.5,0.5,0a12ad6e,74142337,19.0,6.0,0.0,0.0,28.5,0.0,0.03,-0.5,-0.5,176,217.0,3375.0,725.0,0.5,1.5,5.0,20.0,2.0,0.0,19.0,12.0,10.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,11.0,8.0,6.0,2.0,3.0,6.0,7.0,1.0,7.0,1.0,6.0,6.0,17.0,7.0,0.0,313.0,7.0,52.0,179.0,84.0,6.0,313.0,8.0,15.0,24.0,11.0,192.0,28.0,67.0,71.0,2,2,45.0,,0.91,10.0,19.0,-9.0,0.29,5.0,17.9,-12.9,0.17,0,10.0,15.0,1.0,1.0,8.0,0.0,0.0,0,63.0,10.0,10.0,0.0,2018.0
Chelsea Ashurst,,GK,Sporting Huelva,32-230,1990.0,4,4,360,0,0,0,0,0,0,0,0.0,0.0,0.0,e24c4452,27acb0af,0.0,0.0,,,,0.0,,0.0,0.0,59,117.0,2310.0,1952.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,129.0,115.0,128.0,2.0,0.0,0.0,129.0,0.0,0.0,0.0,0.0,16.0,0.0,90.0,90.0,4,0,,6.0,1.0,1.0,7.0,-6.0,-0.79,2.2,6.8,-4.7,-0.08,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,5.0,1.0,0.0,0.0,2020.0
María Asunción Quiñones,es ESP,GK,Athletic Club,26-040,1996.0,11,11,990,0,0,0,0,0,0,0,0.0,0.0,0.0,55ff64ce,94929c05,0.0,0.0,,,,0.0,,0.0,0.0,295,402.0,7668.0,5125.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,442.0,400.0,437.0,5.0,0.0,0.0,442.0,0.0,0.0,1.0,0.0,158.0,0.0,90.0,90.0,11,0,,,1.18,16.0,20.0,-4.0,,11.1,14.7,-3.6,,0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0,9.0,1.0,0.0,0.0,2019.0
Cristina Auñón,,DF,Alavés,33-260,1989.0,10,9,786,2,2,2,0,0,4,0,0.3,0.3,0.5,1c279d7d,aa11fb42,4.0,2.0,0.5,1.0,21.1,0.0,0.09,1.7,1.7,201,298.0,3177.0,1670.0,0.2,1.5,4.0,13.0,0.0,0.0,11.0,6.0,5.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,26.0,16.0,14.0,8.0,4.0,9.0,14.0,5.0,9.0,4.0,5.0,12.0,38.0,22.0,0.0,388.0,38.0,158.0,152.0,85.0,4.0,388.0,3.0,9.0,14.0,7.0,113.0,4.0,79.0,86.0,6,1,11.0,,0.6,9.0,28.0,-19.0,-0.41,6.1,17.5,-11.3,0.1,0,11.0,8.0,0.0,13.0,16.0,0.0,1.0,0,52.0,2.0,4.0,0.0,2020.0
Ane Azkona,es ESP,FW,Athletic Club,24-146,1998.0,11,10,905,2,1,2,0,0,2,0,1.9,1.9,1.8,2dfa2aa3,94929c05,13.0,6.0,0.15,0.33,14.1,0.0,0.15,0.1,0.1,121,199.0,1862.0,470.0,1.7,-0.8,15.0,12.0,12.0,3.0,21.0,26.0,23.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,3.0,4.0,1.0,1.0,1.0,0.0,5.0,0.0,5.0,2.0,10.0,4.0,0.0,292.0,5.0,37.0,121.0,139.0,31.0,292.0,12.0,22.0,29.0,13.0,179.0,41.0,82.0,86.0,8,1,45.0,,1.18,15.0,20.0,-5.0,-1.56,10.1,12.9,-2.8,0.48,0,15.0,8.0,12.0,13.0,4.0,0.0,0.0,0,34.0,6.0,14.0,0.0,2018.0
